Date,Industrial Production (Mom %), Capacity Utilization Index Mom (%), Nonfarm Payrolls Index Mom (%), Nonfarm Payrolls Index Mom (%), Advance Retail Sales Index Mom (%),Manufacturers New Orders Index Mom (%),Real GDP QoQ (%),Real Personal Income MoM (%)
2012-03-01,-0.52,-0.52,0.18,8.2,-0.23,0.35,0.84,0.3
2012-04-01,0.71,0.71,0.06,8.2,-1.53,-0.41,0.45,0.37
2012-05-01,0.21,0.21,0.08,8.2,-0.28,-0.18,0.45,-0.02
2012-06-01,0.02,0.02,0.06,8.2,-2.13,-0.89,0.45,-0.04
2012-07-01,0.2,0.2,0.11,8.2,-1.55,0.46,0.14,-0.64
2012-08-01,-0.41,-0.41,0.13,8.1,-2.13,1.24,0.14,-0.22
2012-09-01,-0.05,-0.05,0.13,7.8,1.31,0.8,0.14,0.75
2012-10-01,0.32,0.32,0.11,7.8,2.14,-0.05,0.12,0.67
2012-11-01,0.39,0.39,0.12,7.7,0.19,0.56,0.12,1.36
2012-12-01,0.29,0.29,0.18,7.9,-0.69,0.35,0.12,2.48
2013-01-01,-0.02,-0.02,0.14,8.0,3.53,0.83,0.99,-4.99
2013-02-01,0.48,0.48,0.21,7.7,-1.55,1.16,0.99,-0.2
2013-03-01,0.41,0.41,0.11,7.5,-2.16,-0.71,0.99,0.35
2013-04-01,-0.1,-0.1,0.14,7.6,2.44,-0.49,0.27,0.41
2013-05-01,0.09,0.09,0.16,7.5,0.53,0.61,0.27,0.48
2013-06-01,0.19,0.19,0.14,7.5,0.13,0.31,0.27,0.0
2013-07-01,-0.33,-0.33,0.08,7.3,-1.73,0.58,0.85,-0.21
2013-08-01,0.6,0.6,0.19,7.2,-0.6,-0.14,0.85,0.17
2013-09-01,0.53,0.53,0.13,7.2,0.54,0.09,0.85,0.41
2013-10-01,-0.12,-0.12,0.16,7.2,0.55,0.33,0.87,-0.34
2013-11-01,0.25,0.25,0.2,6.9,1.75,0.28,0.87,0.26
2013-12-01,0.22,0.22,0.04,6.7,-1.93,0.55,0.87,0.23
2014-01-01,-0.38,-0.38,0.14,6.6,1.75,-0.78,-0.35,0.51
2014-02-01,0.76,0.76,0.11,6.7,0.12,1.26,-0.35,0.56
2014-03-01,0.99,0.99,0.2,6.7,1.31,1.08,-0.35,0.52
2014-04-01,0.08,0.08,0.23,6.2,-0.78,1.02,1.29,0.3
2014-05-01,0.4,0.4,0.16,6.3,0.12,0.17,1.29,0.28
2014-06-01,0.33,0.33,0.24,6.1,2.47,0.25,1.29,0.37
2014-07-01,0.21,0.21,0.16,6.2,-1.85,0.18,1.22,0.27
2014-08-01,-0.16,-0.16,0.14,6.1,1.23,0.77,1.22,0.51
2014-09-01,0.3,0.3,0.21,5.9,1.17,-0.28,1.22,0.35
2014-10-01,0.02,0.02,0.17,5.7,-2.58,0.4,0.51,0.51
2014-11-01,0.62,0.62,0.21,5.8,-1.98,0.28,0.51,0.57
2014-12-01,0.02,0.02,0.2,5.6,0.67,-0.69,0.51,0.69
2015-01-01,-0.79,-0.79,0.15,5.7,-2.13,-0.44,0.9,0.88
2015-02-01,-0.64,-0.64,0.18,5.5,-0.91,-0.25,0.9,0.36
2015-03-01,-0.34,-0.34,0.07,5.4,0.69,1.53,0.9,-0.18
2015-04-01,-0.55,-0.55,0.19,5.4,-0.53,0.19,0.62,0.3
2015-05-01,-0.45,-0.45,0.24,5.6,-1.17,0.78,0.62,0.21
2015-06-01,-0.31,-0.31,0.12,5.3,1.8,0.02,0.62,0.04
2015-07-01,0.63,0.63,0.2,5.2,-0.99,0.91,0.4,0.16
2015-08-01,-0.17,-0.17,0.09,5.1,0.04,-0.02,0.4,0.2
2015-09-01,-0.28,-0.28,0.11,5.0,-0.08,-0.45,0.4,0.27
2015-10-01,-0.47,-0.47,0.21,5.0,-0.7,-0.27,0.18,0.24
2015-11-01,-0.72,-0.72,0.16,5.1,-0.62,0.37,0.18,-0.02
2015-12-01,-0.49,-0.49,0.19,5.0,-1.17,0.42,0.18,0.42
2016-01-01,0.5,0.5,0.09,4.8,1.47,-0.61,0.58,0.13
2016-02-01,-0.52,-0.52,0.14,4.9,-1.21,0.83,0.58,0.06
2016-03-01,-0.77,-0.77,0.18,5.0,-1.03,-0.28,0.58,-0.01
2016-04-01,0.32,0.32,0.13,5.1,0.98,0.54,0.32,-0.15
2016-05-01,-0.23,-0.23,0.03,4.8,-0.9,0.28,0.32,-0.05
2016-06-01,0.49,0.49,0.17,4.9,-0.63,1.07,0.32,0.1
2016-07-01,0.12,0.12,0.26,4.8,1.04,-0.1,0.71,0.43
2016-08-01,-0.1,-0.1,0.1,4.9,0.08,0.03,0.71,0.11
2016-09-01,-0.09,-0.09,0.21,5.0,-0.61,0.69,0.71,0.24
2016-10-01,0.07,0.07,0.07,4.9,0.76,0.17,0.55,0.17
2016-11-01,-0.38,-0.38,0.08,4.7,0.4,0.01,0.55,0.27
2016-12-01,0.71,0.71,0.15,4.7,0.31,1.19,0.55,0.29
2017-01-01,-0.23,-0.23,0.15,4.7,1.19,1.11,0.49,0.3
2017-02-01,-0.38,-0.38,0.15,4.6,0.24,-0.03,0.49,0.29
2017-03-01,0.62,0.62,0.08,4.4,0.99,-0.13,0.49,0.37
2017-04-01,1.0,1.0,0.14,4.4,-0.43,0.35,0.56,0.18
2017-05-01,0.09,0.09,0.14,4.4,0.59,-0.54,0.56,0.63
